rank,rubber,speed,spin,control,tacky,weight,sponge_hardness,gears,throw_angle,consistency,durable,overall,ratings,price
59.,Nittaku Alhelg SR,9.1,9.4,9.0,4.3,6.0,7.2,8.8,4.8,8.8,8.5,9.2,16,$ 60.00
60.,Andro Rasant Beat,8.8,9.1,9.3,1.7,2.9,1.6,8.8,4.4,9.7,8.5,9.2,22,$ 56.00
61.,DHS Hurricane 3 Provincial (No. 22 Blue Sponge),9.2,9.4,9.3,7.6,6.3,7.7,8.6,6.1,8.7,8.5,9.4,37,$ 55.00
62.,Butterfly Dignics 05,9.1,9.4,8.8,1.8,4.9,7.0,8.4,6.3,8.7,8.5,9.3,78,$ 94.00
63.,Gewo Nexxus EL Pro 53 Hard,9.3,9.1,8.9,0.9,6.6,8.3,8.3,2.3,9.1,8.5,9.2,16,$ 60.00
64.,Tibhar 5Q Update,9.1,9.1,9.0,2.4,4.8,5.1,9.1,5.8,10.0,8.5,9.4,10,$ 58.00
65.,Victas VS > 401,7.8,9.4,9.3,1.9,8.5,8.1,8.4,4.4,8.8,8.5,9.2,32,$ 41.00
66.,Yasaka Mark V XS,8.4,8.7,8.4,3.2,3.6,4.1,7.4,3.4,8.6,8.5,8.9,19,$ 46.00
67.,Xiom Omega IV Pro,9.3,9.2,8.8,2.4,5.5,6.8,8.8,4.8,9.4,8.5,9.3,83,$ 60.00
68.,Palio CJ8000 Biotech 36-38° Japanese Sponge,7.6,8.7,9.2,2.6,5.2,3.7,6.8,6.2,7.8,8.5,8.8,14,$ 12.00
69.,Andro Hexer Duro,9.1,9.2,8.6,2.8,4.2,4.8,7.0,5.1,8.4,8.4,9.1,42,$ 34.00
70.,Tibhar 5Q Sound,8.3,9.1,9.1,1.6,3.7,1.5,7.4,4.5,10.0,8.4,9.2,21,$ 45.00
71.,Tibhar 5Q,8.8,9.3,8.7,2.7,4.4,5.4,7.8,6.0,9.7,8.4,9.4,27,$ 41.00
72.,Tuttle Beijing 2,8.5,9.3,9.1,7.3,6.2,5.4,8.1,5.3,10.0,8.4,9.1,12,$ 15.00
73.,Andro Rasant Powersponge,8.7,9.3,9.4,2.3,3.9,3.0,8.5,4.3,9.3,8.4,9.3,48,$ 53.00
74.,Tibhar Hybrid K1 European Version,9.1,9.5,9.2,5.5,5.2,7.9,9.0,6.0,9.6,8.4,9.5,18,$ 41.00
75.,Yasaka Rakza Z Extra Hard,9.1,9.4,8.9,6.9,7.9,9.6,8.8,5.8,9.8,8.4,9.4,31,$ 50.00
76.,Andro Rasant,9.2,9.3,9.0,2.1,5.2,5.5,8.9,5.6,9.5,8.4,9.4,147,$ 57.00
77.,Gewo NanoFLEX FT45,9.1,9.4,9.4,0.7,4.4,5.3,8.3,6.5,8.9,8.4,9.4,15,$ 30.00
78.,Nittaku Fastarc C-1,9.0,9.1,9.2,2.0,4.5,5.0,7.7,5.4,9.5,8.4,9.2,59,$ 45.00
79.,Butterfly Spin Art,8.6,9.3,8.9,6.0,7.7,9.1,9.2,5.9,9.4,8.4,9.3,50,$ 55.00
80.,Dawei Inspirit Quattro Ultralight 40,8.7,8.2,8.6,2.9,3.5,5.4,8.0,4.3,9.7,8.4,8.9,23,$ 16.00
81.,Victas V > 15 Stiff,8.9,9.3,9.3,0.7,4.7,5.6,8.4,5.4,9.6,8.4,9.1,17,$ 40.00
82.,Adidas P7,8.8,9.5,9.1,2.1,4.4,6.5,9.0,6.1,9.5,8.4,9.4,82,$ 50.00
83.,Butterfly Tenergy 25 FX,9.1,9.2,8.9,2.7,4.4,4.1,9.0,4.8,9.6,8.4,9.4,37,$ 80.00
84.,Tibhar Evolution MX-P 50,9.3,9.4,9.0,2.3,7.5,9.5,9.0,4.0,9.3,8.4,9.4,31,$ 65.00
85.,Gewo Proton Neo 375,8.6,9.1,9.4,0.5,2.5,2.8,7.3,6.2,9.5,8.4,9.2,12,$ 42.00
86.,DHS Hurricane 3 National (Blue Sponge),9.2,9.6,9.2,8.5,6.3,8.1,9.4,5.5,9.3,8.4,9.5,61,$ 96.00
87.,DHS Skyline 2 Provincial Blue Sponge,8.3,9.5,9.4,8.6,6.7,9.6,9.1,3.4,9.2,8.4,9.4,15,$ 40.00
88.,Donic Liga,6.3,6.6,9.0,3.8,3.4,3.4,4.9,3.9,8.9,8.3,7.8,21,$ 27.00
89.,Donic Coppa Speed,9.3,9.0,8.3,2.5,4.6,6.7,8.1,3.5,8.8,8.3,9.1,16,$ 53.95
90.,Andro Good,8.7,9.0,9.1,2.7,3.8,3.7,7.9,6.2,9.5,8.3,9.1,12,$ 35.00
91.,Andro Rasant Grip,9.1,9.4,9.1,2.4,5.6,5.5,8.7,4.9,9.5,8.3,9.4,124,$ 53.00
92.,Andro Rasanter R50,9.4,9.4,8.7,1.8,6.5,8.3,9.2,5.9,9.3,8.3,9.4,43,$ 50.00
93.,Xiom Omega VII Tour,9.3,9.3,8.2,2.0,7.4,8.8,9.1,6.2,9.5,8.3,9.2,20,$ 59.00
94.,Xiom Sigma II Pro,9.4,9.3,8.7,2.5,6.4,7.2,8.8,5.5,9.5,8.3,9.3,28,$ 42.00
95.,DHS Hurricane 8-80,8.1,9.3,9.1,8.1,6.8,6.4,9.1,5.0,8.5,8.3,8.9,15,$ 40.00
96.,Butterfly Bryce High Speed,9.6,8.8,8.7,1.6,3.2,4.3,7.8,5.3,8.8,8.3,9.3,33,$ 63.00
97.,Adidas Tenzone Ultra,9.2,9.4,8.9,2.3,5.2,7.2,8.3,6.1,9.4,8.3,9.4,19,$ 50.00
